0 1679 73 64
1 31 57 32
2 0 86 0
3 42 554 50
4 0 234 0
5 41 164 89
6 0 220 0
7 37 104 736
8 44 70 0
9 0 89 346
10 47 0 0
11 0 96 292
12 60 109 0
13 0 148 161
14 51 113 0
15 57 101 92
16 0 74 0
17 50 81 102
18 0 63 0
19 53 73 91
20 0 0 0
21 56 68 93
22 50 79 0
23 0 65 92
24 59 75 0
25 0 100 116
26 61 93 0
27 0 79 150
28 53 78 0
29 0 77 139
30 59 0 0
31 62 121 98
32 0 136 0
33 60 109 112
34 0 123 0
35 65 124 90
36 0 118 0
37 47 94 117
38 66 119 0
39 0 127 118
40 62 0 0
41 0 118 125
42 70 128 0
43 0 163 133
44 48 153 0
45 60 132 120
46 0 165 0
47 75 180 127
48 0 163 0
49 79 166 145
50 0 0 0
51 81 153 130
52 85 181 159
53 0 192 0
54 126 181 139
55 0 210 0
56 114 191 139
57 0 217 0
58 135 216 183
59 138 243 0
60 0 169 217
61 185 0 0
62 0 125 284
63 196 100 0
64 0 108 332
65 202 92 0
66 208 84 422
67 0 77 0
68 186 65 460
69 0 74 0
70 185 68 414
71 0 0 0
72 204 48 463
73 219 45 0
74 0 46 423
75 189 50 0
76 0 49 363
77 217 52 0
78 0 49 305
79 210 65 0
80 0 44 268
81 170 0 0
82 205 52 214
83 0 50 0
84 207 68 164
85 0 48 0
86 169 56 157
87 0 35 0
88 173 39 152
89 177 56 0
90 0 48 122
91 158 0 0
92 0 40 112
93 152 43 0
94 0 41 92
95 142 28 0
96 142 37 110
97 0 44 0
98 141 37 131
99 0 48 0
100 165 44 117
101 0 0 0
102 150 54 85
103 124 54 118
104 0 43 0
105 161 54 105
106 0 46 0
107 166 38 114
108 0 51 0
109 152 46 115
110 134 46 0
111 0 49 85
112 135 0 0
113 0 40 87
114 140 53 0
115 0 42 92
116 123 48 0
117 137 57 104
118 0 55 0
119 159 67 100
120 0 60 0
121 177 59 77
122 0 0 0
123 160 51 123
124 160 49 0
125 0 56 117
126 179 47 0
127 0 37 113
128 134 58 0
129 0 52 135
130 155 63 0
131 0 58 115
132 161 0 0
133 168 52 157
134 0 55 0
135 129 47 154
136 0 30 0
137 117 51 170
138 0 44 0
139 142 50 215
140 131 59 0
141 0 51 220
142 119 0 0
143 0 44 248
144 130 50 0
145 0 47 162
146 114 51 0
147 135 43 164
148 0 48 0
149 128 43 162
150 0 51 0
151 138 53 179
152 0 0 0
153 111 46 206
154 138 60 239
155 0 65 0
156 138 49 258
157 0 58 0
158 154 72 308
159 0 56 0
160 139 61 330
161 137 46 0
162 0 68 304
163 128 0 0
164 0 80 264
165 141 71 0
166 0 72 241
167 143 58 0
168 152 98 297
169 0 91 0
170 142 90 289
171 0 97 0
172 166 86 329
173 0 0 0
174 171 92 344
175 168 93 0
176 0 108 307
177 161 86 0
178 0 108 225
179 162 94 0
180 0 83 228
181 194 78 0
182 0 123 162
183 172 0 0
184 184 105 161
185 0 119 0
186 195 131 146
187 0 139 0
188 181 135 128
189 0 143 0
190 182 118 130
191 184 144 0
192 0 136 109
193 166 0 0
194 0 140 122
195 171 157 0
196 0 176 109
197 155 171 0
198 189 159 108
199 0 191 0
200 171 155 101
201 0 168 0
202 198 171 98
203 0 0 0
204 179 158 79
205 174 173 105
206 0 172 0
207 186 159 83
208 0 156 0
209 253 179 54
210 0 166 0
211 322 137 66
212 291 151 0
213 0 145 79
214 326 0 0
215 0 158 56
216 327 164 0
217 0 142 74
218 289 150 0
219 270 129 53
220 0 162 0
221 279 171 57
222 0 191 0
223 262 225 50
224 0 0 0
225 221 194 37
226 189 200 0
227 0 164 52
228 139 182 0
229 0 130 49
230 152 111 0
231 0 100 55
232 141 90 0
233 0 121 32
234 107 0 0
235 144 59 42
236 0 68 0
237 160 59 39
238 0 44 0
239 118 57 48
240 0 63 0
241 71 68 32
242 69 68 0
243 0 59 34
244 60 0 0
245 0 75 31
246 70 51 0
247 0 44 33
248 47 26 0
249 42 21 31
250 0 14 0
251 44 15 33
252 0 8 0
253 26 6 32
254 0 0 0
255 102 12 1719
